Image_ID,Left,Right
9950688R.png,27,21
9227067L.png,15,18
9102297R.png,12,12
9276849R.png,12,12
9528034L.png,18,21
9780584L.png,15,18
9331053R.png,21,15
9874784R.png,24,21
9333574R.png,12,12
9727207L.png,15,21
9744584R.png,12,15
9295223L.png,18,12
9810742R.png,18,12
9254853L.png,18,12
9486452L.png,12,15
9282772R.png,12,12
9900668L.png,18,21
9138965L.png,18,12
9729094R.png,18,21
9735538R.png,18,12
9076127L.png,12,99
9219596R.png,24,21
9597688R.png,21,12
9653075L.png,84,24
9611257R.png,18,15
9957519R.png,18,18
9002316R.png,12,9
9516844R.png,27,15
9628616L.png,15,18
9802170L.png,21,18
9780275R.png,18,18
9695621R.png,18,15
9176441R.png,15,15
9596422L.png,21,12
9891264L.png,12,18
9166930R.png,12,21
9633861R.png,21,18
9563176R.png,30,30
9820479R.png,18,18
9004175L.png,12,18
9768869L.png,18,18
9651895R.png,18,21
9316495L.png,18,18
9709990L.png,12,24
9220921R.png,12,18
9153792L.png,15,18
9063928L.png,15,12
9204055L.png,18,18
9709990R.png,18,12
9314340L.png,15,21
9859361L.png,21,18
9826718L.png,18,18
9156448L.png,21,12
9341535L.png,12,21
9737302R.png,18,18
9465321R.png,12,18
9008322R.png,18,12
9581712L.png,18,18
9861824R.png,27,18
9068742R.png,18,12
9822877R.png,18,21
9441307L.png,12,18
9092247R.png,24,12
9417063L.png,12,27
9472254L.png,15,12
9624154L.png,21,27
9442298L.png,18,12
9824274R.png,18,12
9585175L.png,18,18
9723575R.png,18,12
9082901L.png,15,24
9168534L.png,18,18
9964777R.png,33,12
9168023R.png,12,18
9062688R.png,12,9
9251736R.png,12,18
9887094L.png,117,117
9775009L.png,15,15
9324372R.png,18,18
9634937R.png,15,12
9241544L.png,15,21
9981798R.png,27,24
9133464R.png,27,21
9532902R.png,18,15
9576182R.png,24,18
9583994R.png,24,18
9324372L.png,12,18
9781154L.png,12,15
9833782L.png,15,18
9898404R.png,12,12
9013798R.png,18,15
9288217L.png,15,18
9445880R.png,15,12
9787576R.png,21,15
9771727R.png,12,15
9703327R.png,12,18
9156694L.png,15,18
9475284R.png,12,18
9153696L.png,15,15
9645116L.png,18,27
9803586R.png,18,21
9656390R.png,12,18
9982186R.png,18,15
9599243R.png,33,24
9880794L.png,15,18
9502938L.png,12,15
9791110R.png,12,18
9702463R.png,18,15
9935448L.png,117,114
9877252L.png,15,18
9564280R.png,18,18
9251077R.png,18,18
9085892L.png,21,18
9916319L.png,12,18
9355257R.png,12,12
9999510R.png,36,12
9574138R.png,12,12
9564280L.png,15,18
9566632R.png,12,15
9775009R.png,15,21
9402055L.png,18,18
9595607R.png,18,15
9676041R.png,15,12
9306384R.png,18,15
9341903R.png,27,15
9692923L.png,12,18
9753580L.png,18,18
9268233R.png,18,15
9900761L.png,18,18
9883715R.png,27,24
9432327L.png,15,18
