img_idx,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55
im4,0,0,22,0,18,0,0,0,3,10,5,8,2,2,3,4,5,5,6,5,5,6,7,9,11,13,15,15,16,17,15,13,8,8,0,8,3,4,0,10,2,0,2,0,2,4,5,0,4,2,0,0,17,15,22,0
im16,27,0,22,0,0,27,2,0,0,0,0,0,0,3,3,5,5,6,6,2,0,2,0,0,12,13,28,28,23,18,0,5,6,11,12,7,15,9,13,12,12,11,6,4,2,0,0,3,3,0,6,0,17,12,4,8
im29,0,0,0,0,0,0,26,0,7,24,27,27,27,25,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,17
im40,20,25,24,22,20,21,19,12,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,17,15,11,11,11,13,14,15,13,11,11,5,8,7,5,6,9,11,13,15,0,0,0,0,25
im44,0,2,0,6,26,0,0,0,15,12,10,9,10,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,6,13,18,14,24,27,21,20
im59,13,9,0,0,0,0,4,0,0,0,0,0,2,2,4,5,5,6,6,7,7,8,8,8,5,9,8,21,24,19,17,13,9,4,8,8,8,10,0,7,5,4,5,5,0,0,0,8,10,11,4,22,0,25,19,16
im65,0,27,0,0,0,0,22,0,17,16,17,16,16,16,17,17,16,16,14,12,11,10,8,9,8,8,19,21,21,16,14,7,8,9,14,12,11,10,9,7,6,5,5,5,5,5,6,6,6,0,0,0,0,0,0,0
im72,3,9,0,0,0,0,14,18,14,12,11,11,10,10,9,10,9,10,9,0,7,4,4,5,5,0,9,0,12,0,0,0,0,0,0,0,0,0,10,6,4,2,0,2,0,2,2,0,0,0,7,0,0,0,0,0
im97,0,0,0,0,0,0,0,0,0,8,4,5,5,5,5,4,5,4,0,7,0,0,0,9,0,0,0,0,16,17,19,17,8,7,8,9,11,11,13,13,14,13,13,12,11,12,12,13,13,0,0,0,0,0,0,0
im105,0,0,0,0,5,0,0,0,21,0,19,18,18,19,19,19,20,20,21,21,19,18,0,12,17,18,28,0,0,0,21,0,0,0,9,7,0,0,4,2,0,0,2,2,4,5,5,5,6,0,0,7,14,9,6,9
